_from,to,category,score,normalized_score
adelantar,samsung,tech,3,0.020402832237083064
adelantar,suceso,tech,1,0.0
adelantar,tramite,politic,3,0.07398203522467027
adema,adn,tech,3,0.020402832237083064
adema,anterior,tech,3,0.020402832237083064
adema,autonomia,tech,1,0.0
adema,calidad,tech,3,0.020402832237083064
adema,comprado,tech,3,0.020402832237083064
adema,contenido,tech,1,0.0
adema,determinar,tech,1,0.0
adema,equilibrar,tech,3,0.020402832237083064
adema,facilmente,tech,2,0.010201416118541534
adema,fluido,tech,1,0.0
adema,funda,tech,2,0.010201416118541534
adema,indicador,tech,2,0.010201416118541534
adema,influir,tech,2,0.010201416118541534
adema,mando,tech,1,0.0
adema,medio,tech,1,0.0
adema,medir,tech,1,0.0
adema,opinion,tech,2,0.010201416118541534
adema,reduccion,tech,3,0.020402832237083064
adema,rendimiento,tech,2,0.010201416118541534
adema,servicio,tech,2,0.010201416118541534
adema,transmitir,tech,3,0.020402832237083064
adema,vincular,tech,3,0.020402832237083064
adicional,anadiran,tech,3,0.020402832237083064
adicional,comunicacion,tech,1,0.0
adicional,family,tech,2,0.010201416118541534
adicional,fiscalia,politic,3,0.07398203522467027
adicional,grupo,tech,1,0.0
adicional,hubtm,tech,1,0.0
adicional,implementar,tech,2,0.010201416118541534
adicional,medida,tech,1,0.0
adicional,plataforma,tech,3,0.020402832237083064
adicional,prometer,tech,3,0.020402832237083064
adicional,prueba,politic,2,0.045920884776933006
adicional,refrigerador,tech,3,0.020402832237083064
adicional,respuesta,tech,2,0.010201416118541534
adicional,simplificar,tech,2,0.010201416118541534
adicional,suficiente,politic,1,0.017859734329195735
adicionalmente,app,tech,2,0.010201416118541534
adicionalmente,destacar,tech,2,0.010201416118541534
adicionalmente,dirigir,tech,1,0.0
adicionalmente,eliminar,tech,3,0.020402832237083064
adicionalmente,investigador,tech,3,0.020402832237083064
adicionalmente,tecnologia,tech,1,0.0
adivinar,asesino,tech,3,0.020402832237083064
administracion,anadir,politic,2,0.045920884776933006
administracion,chaves,politic,1,0.017859734329195735
administracion,colombia,politic,2,0.045920884776933006
administracion,consecuencia,politic,2,0.045920884776933006
administracion,cumplir,politic,2,0.045920884776933006
administracion,incremento,politic,1,0.017859734329195735
administracion,justicia,politic,9,0.24234893791109385
administracion,problema,politic,1,0.017859734329195735
administracion,reacia,politic,3,0.07398203522467027
administrador,archivo,tech,3,0.020402832237083064
administrador,descubrir,tech,1,0.0
administrador,eficiente,tech,2,0.010201416118541534
administrador,enviar,tech,3,0.020402832237083064
administrador,gestionar,tech,3,0.020402832237083064
administrador,importante,tech,1,0.0
administrador,incompetente,politic,3,0.07398203522467027
administrador,interactuar,tech,3,0.020402832237083064
administrador,mantener,tech,1,0.0
administrador,miembro,tech,2,0.010201416118541534
administrador,noticia,tech,2,0.010201416118541534
administrador,paranoico,politic,1,0.017859734329195735
administrador,permiso,tech,1,0.0
administrador,personalidad,politic,2,0.045920884776933006
administrador,xiaomi,tech,2,0.010201416118541534
administrar,entidad,politic,3,0.07398203522467027
administrar,pleno,politic,1,0.017859734329195735
administrar,verificar,politic,2,0.045920884776933006
adn,ambiente,tech,1,0.0
adn,celula,tech,3,0.020402832237083064
adn,codigo,tech,1,0.0
adn,ejecutar,tech,2,0.010201416118541534
adn,influir,tech,3,0.020402832237083064
adn,medio,tech,2,0.010201416118541534
adn,persona,tech,5,0.040805664474166135
adn,unico,tech,3,0.020402832237083064
adolescente,ayudar,tech,3,0.020402832237083064
adolescente,batallar,tech,3,0.020402832237083064
adolescente,colombiano,tech,3,0.020402832237083064
adolescente,creer,tech,1,0.0
adolescente,diario,tech,2,0.010201416118541534
adolescente,entender,tech,2,0.010201416118541534
adolescente,especialmente,tech,3,0.020402832237083064
adolescente,idealizado,tech,1,0.0
adolescente,internet,tech,1,0.0
adolescente,matoneos,tech,1,0.0
adolescente,mensaje,tech,2,0.010201416118541534
adolescente,susceptible,tech,2,0.010201416118541534
adolescente,tecnologia,tech,1,0.0
adolescente,visualizar,tech,2,0.010201416118541534
adolescente,vulnerable,tech,3,0.020402832237083064
adoptar,duradero,politic,1,0.017859734329195735
adoptar,enfoque,politic,3,0.07398203522467027
adoptar,solucion,politic,2,0.045920884776933006
adquirir,conversion,tech,1,0.0
adquirir,dolar,tech,2,0.010201416118541534
adquirir,precio,tech,3,0.020402832237083064
adulto,billones,tech,3,0.020402832237083064
adulto,casi,tech,3,0.020402832237083064
adulto,celular,tech,1,0.0
adulto,dedicado,tech,2,0.010201416118541534
advertencia,contenido,tech,3,0.020402832237083064
advertencia,investigacion,tech,2,0.010201416118541534
advertencia,provenir,tech,3,0.020402832237083064
advertencia,provocar,tech,1,0.0
advertencia,realizado,tech,1,0.0
advertencia,susceptible,tech,2,0.010201416118541534
advertir,autor,politic,3,0.07398203522467027
advertir,avance,tech,2,0.010201416118541534
advertir,cambridge,tech,1,0.0
advertir,estudio,politic,2,0.045920884776933006
advertir,ia,tech,1,0.0
advertir,implicar,politic,2,0.045920884776933006
advertir,iniciativa,politic,1,0.017859734329195735
advertir,investigador,tech,3,0.020402832237083064
advertir,peligro,politic,3,0.07398203522467027
advertir,rapido,tech,3,0.020402832237083064
advertir,resaltar,politic,1,0.017859734329195735
advertir,universidad,tech,2,0.010201416118541534
afectacion,academico,tech,2,0.010201416118541534
afectacion,depresion,tech,1,0.0
afectacion,desempeno,tech,3,0.020402832237083064
afectacion,mental,tech,2,0.010201416118541534
afectacion,nino,tech,1,0.0
afectacion,salud,tech,3,0.020402832237083064
afectado,acceder,tech,3,0.020402832237083064
afectado,calificacion,tech,3,0.020402832237083064
afectado,cancilleria,politic,1,0.017859734329195735
afectado,confirmar,politic,3,0.07398203522467027
afectado,contacto,tech,3,0.020402832237083064
afectado,cuenta,tech,2,0.010201416118541534
afectado,dato,tech,1,0.0
afectado,debido,tech,2,0.010201416118541534
afectado,exterior,tech,1,0.0
afectado,fuente,politic,2,0.045920884776933006
afectado,gobierno,politic,3,0.07398203522467027
afectado,mundo,tech,2,0.010201416118541534
afectado,tiempo,tech,1,0.0
afectado,turno,politic,2,0.045920884776933006
afectar,aplicacion,tech,2,0.010201416118541534
afectar,configuracion,tech,3,0.020402832237083064
afectar,desempeno,tech,1,0.0
afectar,diverso,tech,3,0.020402832237083064
afectar,google,tech,1,0.0
afectar,mental,tech,2,0.010201416118541534
afectar,mundial,tech,1,0.0
afectar,opinion,politic,2,0.045920884776933006
afectar,publico,politic,1,0.017859734329195735
afectar,salud,tech,3,0.020402832237083064
afectar,top,tech,2,0.010201416118541534
afectar,voltear,politic,3,0.07398203522467027
afiliacion,educacion,politic,1,0.017859734329195735
afiliacion,salud,politic,2,0.045920884776933006
afiliacion,sistema,politic,3,0.07398203522467027
afirmar,actuar,politic,1,0.017859734329195735
afirmar,agencia,tech,3,0.020402832237083064
afirmar,creacion,politic,1,0.017859734329195735
afirmar,cumplir,politic,2,0.045920884776933006
afirmar,gobierno,politic,3,0.07398203522467027
afirmar,prueba,politic,3,0.07398203522467027
afirmar,suficiente,politic,2,0.045920884776933006
afirmo,laflamme,tech,3,0.020402832237083064
afrocolombian,desplazamiento,politic,2,0.045920884776933006
afrocolombian,nivel,politic,1,0.017859734329195735
afrocolombian,victima,politic,3,0.07398203522467027
afrocolombiano,palenquero,politic,2,0.045920884776933006
afrocolombiano,raizal,politic,3,0.07398203522467027
afrocolombiano,restante,politic,1,0.017859734329195735
agencia,naciones,politic,3,0.07398203522467027
agencia,refugiados,politic,1,0.017859734329195735
agencia,unidas,politic,2,0.045920884776933006
agente,encubierto,tech,3,0.020402832237083064
agente,reportar,tech,2,0.010201416118541534
agente,sitio,tech,1,0.0
agilidad,administracion,politic,2,0.045920884776933006
agilidad,asistente,tech,3,0.020402832237083064
agilidad,competente,tech,2,0.010201416118541534
